Budget,Team_Size,Timeline,Priority,Domain,Risk
116389,17,5,Low,Healthcare,Low
288128,4,23,High,AI,High
827191,17,7,Medium,Education,Low
770905,10,19,Critical,AI,Medium
350875,7,22,Low,Manufacturing,Medium
288744,24,18,Low,Logistics,Medium
464750,15,3,Medium,E-Commerce,Low
223215,18,6,High,Retail,Medium
632195,9,17,Medium,Logistics,Low
155646,8,6,Medium,Cybersecurity,Low
621682,7,8,Low,Healthcare,Low
776185,13,12,Medium,AI,Low
363592,12,22,Critical,Healthcare,High
209493,25,4,Medium,Education,Low
923648,2,18,Low,Finance,Medium
346729,25,17,High,AI,Medium
308405,25,24,High,E-Commerce,Medium
916814,5,13,Medium,Finance,Low
348636,25,16,Medium,AI,Low
331381,4,18,Critical,Healthcare,High
557037,6,9,Critical,Education,Medium
506145,13,7,Critical,E-Commerce,Low
762722,13,11,Medium,Agriculture,Low
233391,3,21,Low,Logistics,High
243132,5,17,Critical,AI,High
279517,12,10,High,Manufacturing,Medium
264404,22,22,Medium,Manufacturing,Medium
679606,9,5,Critical,Retail,Low
612977,8,21,Critical,Cybersecurity,Medium
392731,2,16,Medium,E-Commerce,Medium
443194,15,21,Medium,Manufacturing,Medium
256206,20,3,Critical,Healthcare,Medium
142004,17,19,Low,AI,Medium
656921,14,18,Low,Cybersecurity,Low
619344,9,5,Low,AI,Low
328596,6,14,High,E-Commerce,Medium
779099,4,3,Critical,Logistics,Medium
269662,24,17,Low,Cybersecurity,Medium
586288,6,15,Medium,Agriculture,Low
757258,16,23,Low,Finance,Low
503575,24,13,Low,Logistics,Low
546590,10,22,Medium,Finance,Low
750594,12,4,High,Healthcare,Low
216356,14,14,Critical,Manufacturing,High
142859,13,14,Medium,Retail,Medium
839113,4,20,Medium,Education,Medium
451199,9,20,Low,Cybersecurity,Medium
873199,20,9,Medium,Agriculture,Low
469844,10,19,Critical,Logistics,High
157105,4,14,High,Cybersecurity,High
609845,18,19,Low,Cybersecurity,Low
844305,19,24,High,Cybersecurity,Medium
751114,13,24,Low,E-Commerce,Low
580115,4,5,Critical,Education,Medium
402380,4,6,Medium,Logistics,Medium
217466,24,7,Critical,Education,Medium
314178,18,23,Low,Logistics,Medium
536770,23,20,Medium,Cybersecurity,Low
463541,15,17,Low,Logistics,Low
298244,4,3,Medium,Retail,Medium
775987,12,16,High,Agriculture,Low
609763,20,24,Critical,Cybersecurity,Medium
418853,20,7,High,Education,Low
927607,10,10,Critical,Agriculture,Low
402143,3,7,High,Logistics,Medium
578073,7,22,Medium,Retail,Medium
399102,7,8,Medium,Education,Low
349461,5,4,High,Manufacturing,Medium
232617,16,11,High,Education,Medium
315120,19,4,High,Agriculture,Low
255130,13,17,Medium,Retail,Medium
416208,5,3,Critical,Cybersecurity,Medium
905849,6,17,High,Education,Medium
104502,25,20,High,Logistics,High
596931,11,21,Medium,Manufacturing,Low
863933,16,13,Low,Cybersecurity,Low
142027,6,24,Low,Logistics,High
126000,14,22,Medium,Cybersecurity,Medium
474754,4,13,Low,Manufacturing,Medium
772465,8,21,Medium,Logistics,Low
305222,2,5,Critical,Finance,High
636648,14,9,Critical,Agriculture,Low
732471,21,19,Low,Agriculture,Low
516869,6,16,High,AI,Medium
490941,2,12,High,Agriculture,Medium
423050,16,20,Low,E-Commerce,Medium
863209,16,16,Critical,Logistics,Medium
271746,25,16,Critical,Education,High
976097,20,22,Low,Education,Low
317877,11,18,High,Finance,Medium
719371,14,5,Low,AI,Low
769836,10,16,Medium,Retail,Low
584567,24,21,Medium,E-Commerce,Low
295041,14,12,Critical,Healthcare,Medium
962767,11,21,High,Cybersecurity,Medium
686448,25,17,Medium,Healthcare,Low
929653,2,7,High,Logistics,Medium
771670,22,18,Low,Logistics,Low
537420,7,18,Medium,Healthcare,Low
225152,10,18,Low,Manufacturing,Medium
881782,13,21,Critical,Manufacturing,Medium
557250,10,23,Critical,Finance,Medium
491330,18,21,Low,Logistics,Medium
270757,20,4,Medium,Agriculture,Low
583439,24,7,High,Education,Low
155457,10,14,Critical,Agriculture,High
151081,11,12,Low,Retail,Low
303229,22,8,Low,Manufacturing,Low
889188,7,20,High,Agriculture,Medium
966985,23,12,High,Agriculture,Low
200488,19,21,High,Education,High
113524,6,19,High,Agriculture,High
916639,17,16,High,Education,Low
207392,8,7,Medium,E-Commerce,Low
933729,19,22,Low,AI,Low
582860,4,6,Medium,Healthcare,Low
602811,13,12,High,Education,Low
956727,16,22,High,Education,Medium
844378,11,3,Low,E-Commerce,Low
234966,24,7,Medium,Logistics,Low
231432,8,7,Low,AI,Low
824375,5,5,Low,Cybersecurity,Low
894122,15,4,Medium,Finance,Low
134385,23,19,Low,Cybersecurity,Medium
224698,10,4,Low,Logistics,Low
800015,2,6,Low,Manufacturing,Low
315378,20,9,Medium,Agriculture,Low
130680,4,7,High,Manufacturing,High
464733,13,8,Medium,Retail,Low
697935,4,6,Low,Retail,Low
327538,24,9,High,Education,Low
890645,19,3,Low,E-Commerce,Low
628687,24,18,High,Manufacturing,Low
294118,16,24,Low,Education,Medium
975290,13,15,Critical,E-Commerce,Medium
639231,9,16,Low,Agriculture,Low
229620,16,6,Medium,Cybersecurity,Low
899301,13,12,Low,Finance,Low
444053,17,6,Critical,Logistics,Medium
579142,21,12,Critical,E-Commerce,Low
680822,15,12,Critical,E-Commerce,Low
998392,4,18,High,Education,Medium
113406,23,18,Low,AI,Medium
559337,18,24,Low,Finance,Low
250331,14,15,Low,Education,Medium
167853,13,9,High,E-Commerce,Medium
723861,14,6,Medium,AI,Low
860427,17,11,High,AI,Low
473395,17,24,Critical,Cybersecurity,High
636256,10,7,Critical,Finance,Low
228125,10,18,Critical,E-Commerce,High
758894,6,3,Low,Healthcare,Low
970645,4,18,Low,Education,Medium
501219,21,24,High,Education,Medium
417459,21,22,Low,Finance,Medium
793193,18,18,Critical,E-Commerce,Medium
407823,23,18,Critical,Retail,Medium
374375,19,13,Low,Healthcare,Low
551313,5,15,Critical,Agriculture,Medium
994303,14,17,Critical,Healthcare,Medium
134455,7,20,High,Education,High
615353,15,7,High,AI,Low
611133,5,21,Critical,Retail,High
818666,19,21,Critical,Cybersecurity,Medium
689567,7,19,Low,AI,Medium
376185,17,21,Critical,Manufacturing,High
809348,13,12,High,Healthcare,Low
129514,20,4,Medium,Agriculture,Low
465823,25,21,Low,Agriculture,Medium
499060,5,16,High,Agriculture,Medium
531939,13,4,Medium,E-Commerce,Low
346019,22,12,Low,Finance,Low
419723,5,13,Medium,Healthcare,Medium
664570,12,4,Critical,AI,Low
695642,18,16,High,Healthcare,Low
829765,17,21,Low,Agriculture,Low
496086,20,15,High,Manufacturing,Medium
202472,17,6,Medium,Agriculture,Low
620860,18,24,High,Education,Medium
744693,11,14,Critical,E-Commerce,Medium
621091,22,5,Medium,Logistics,Low
378035,3,12,Critical,E-Commerce,High
754911,25,5,Low,Manufacturing,Low
453200,10,5,Critical,AI,Medium
319927,13,5,High,Retail,Low
943187,11,16,High,E-Commerce,Low
534439,14,11,Critical,Retail,Low
289373,2,23,Medium,Manufacturing,High
623452,8,24,Critical,Logistics,Medium
768914,19,22,Critical,Manufacturing,Medium
861911,22,4,Medium,Agriculture,Low
584952,6,10,Medium,Logistics,Low
985126,15,16,High,Finance,Low
764721,8,16,High,Logistics,Low
777424,7,11,Medium,AI,Low
350067,5,7,Medium,Healthcare,Low
357516,11,17,Critical,Retail,Medium
557318,15,23,Low,E-Commerce,Low
267099,10,7,Low,Logistics,Low
928028,10,24,Medium,Healthcare,Low
857568,17,3,Low,Finance,Low
429153,21,12,Low,AI,Low
481088,23,24,Low,AI,Medium
980605,25,7,Medium,Finance,Low
698708,25,19,Low,Retail,Low
796482,20,19,High,Cybersecurity,Medium
194632,9,22,Low,Agriculture,Medium
445281,20,15,Medium,AI,Low
328598,6,6,Medium,E-Commerce,Low
387883,16,16,High,Manufacturing,Medium
158642,17,20,High,Finance,High
431863,19,16,Critical,E-Commerce,Medium
391224,6,14,Critical,Agriculture,High
961264,11,3,Low,Healthcare,Low
824233,23,10,High,Retail,Low
503376,11,23,High,Finance,Medium
660894,9,17,Critical,Healthcare,Medium
512064,10,12,Low,E-Commerce,Low
411870,8,8,Critical,Agriculture,Medium
951703,22,16,Low,Logistics,Low
183985,17,18,Critical,Agriculture,High
852233,15,6,Medium,Logistics,Low
630930,4,14,Critical,Manufacturing,High
864654,19,13,Critical,Healthcare,Medium
898989,3,23,Medium,Cybersecurity,Medium
929443,22,7,Low,AI,Low
309794,22,12,High,Manufacturing,Low
186226,5,8,Medium,Retail,Medium
848226,22,7,Critical,Agriculture,Low
573421,17,7,High,Education,Low
820861,20,13,High,E-Commerce,Low
188498,15,14,Medium,AI,Medium
495648,20,10,Low,Healthcare,Low
685661,22,22,Medium,Finance,Low
584887,8,11,Medium,Healthcare,Low
520515,21,16,High,Education,Low
193387,13,8,Low,Healthcare,Low
853489,18,16,Critical,Cybersecurity,Medium
224269,9,9,Medium,Logistics,Low
401950,25,18,Critical,Education,Medium
552259,8,22,Medium,Logistics,Low
862008,23,9,Critical,Education,Low
528368,6,3,High,Logistics,Low
346924,21,17,Medium,Agriculture,Low
711218,23,23,Critical,Finance,Medium
110821,17,7,High,AI,Medium
820216,8,15,Critical,Manufacturing,Medium
368672,4,6,Low,Healthcare,Medium
449031,9,18,High,Manufacturing,Medium
803375,21,4,Low,Logistics,Low
629050,21,15,High,AI,Low
803869,13,7,Low,Manufacturing,Low
288085,10,8,Critical,Agriculture,Medium
590822,6,5,High,Retail,Low
553959,6,11,Low,Agriculture,Low
146307,6,18,High,Agriculture,High
550977,11,11,High,Retail,Low
428215,15,8,High,Cybersecurity,Low
900771,6,20,Critical,Healthcare,High
298096,6,4,Medium,Education,Medium
137604,17,11,Medium,Cybersecurity,Low
557629,5,18,Low,Cybersecurity,Low
473838,24,20,Critical,Cybersecurity,High
616935,5,7,Low,Agriculture,Low
198123,8,12,Medium,Education,Low
886365,18,11,Medium,Manufacturing,Low
104326,18,21,Medium,AI,Medium
180567,9,18,Low,Agriculture,Medium
127223,11,24,Low,AI,Medium
491704,20,6,High,Education,Low
130277,4,17,Critical,Cybersecurity,High
758879,10,22,Low,Agriculture,Low
145976,22,22,Critical,Agriculture,High
867080,25,21,Medium,E-Commerce,Low
151047,22,12,High,Healthcare,Medium
879930,4,20,Critical,Finance,High
518233,10,8,Medium,AI,Low
193520,2,9,Medium,AI,Medium
917357,14,12,Medium,Finance,Low
413048,17,16,High,Manufacturing,Medium
237664,13,24,Low,Agriculture,Medium
637555,8,18,Critical,AI,Medium
599583,10,21,Critical,Finance,Medium
893237,15,14,Medium,AI,Low
761322,15,5,Low,Retail,Low
458345,16,24,Medium,Education,Medium
619383,18,23,Low,Logistics,Low
590963,15,5,Critical,Logistics,Low
255825,6,24,High,E-Commerce,High
648501,15,12,Low,Retail,Low
180250,3,19,Low,Retail,High
545554,15,6,Critical,Manufacturing,Low
952308,10,14,High,Manufacturing,Low
185741,18,3,Low,Cybersecurity,Low
288274,7,15,Low,Finance,Medium
536471,24,12,High,Manufacturing,Low
859268,16,24,Critical,Manufacturing,Medium
947075,10,13,Medium,E-Commerce,Low
294078,4,22,High,Finance,High
554871,19,3,Low,AI,Low
222346,2,8,Critical,Cybersecurity,High
825411,14,24,Critical,Logistics,Medium
748543,21,14,Critical,Logistics,Medium
191892,6,7,Low,E-Commerce,Medium
217348,2,9,Low,E-Commerce,Medium
604487,22,7,Medium,AI,Low
982995,22,20,Medium,Finance,Low
415535,16,7,Critical,AI,Medium
122876,5,8,Medium,Cybersecurity,Medium
608608,17,3,Critical,Manufacturing,Low
354415,8,12,Critical,Healthcare,Medium
450067,2,6,Critical,AI,High
989838,17,21,High,Healthcare,Medium
611177,14,18,Critical,E-Commerce,Medium
848987,3,19,Low,AI,Medium
704402,12,20,Low,Logistics,Low
779792,15,18,Low,Cybersecurity,Low
752944,22,14,Critical,AI,Medium
121817,7,12,Medium,Cybersecurity,Medium
460550,16,10,Medium,Manufacturing,Low
818247,12,22,Critical,Education,Medium
407645,25,15,Critical,Agriculture,Medium
934637,17,8,Medium,Logistics,Low
824248,25,5,Critical,Education,Low
281708,8,8,Critical,Finance,Medium
932026,15,18,High,E-Commerce,Low
319606,19,4,Low,Agriculture,Low
373477,13,24,Medium,Education,Medium
968167,18,4,Low,Agriculture,Low
551538,5,22,Medium,Finance,Medium
689280,9,18,High,Agriculture,Low
923012,13,4,High,Education,Low
994863,24,19,Low,Healthcare,Low
559094,16,6,Low,Manufacturing,Low
739270,5,20,Low,Retail,Medium
210531,7,23,Low,E-Commerce,High
479205,7,12,Critical,Retail,Medium
622600,25,6,Medium,Agriculture,Low
450861,6,6,Medium,Cybersecurity,Low
535945,2,10,Critical,Agriculture,Medium
400687,18,8,Low,Logistics,Low
490527,24,16,High,E-Commerce,Medium
258975,18,16,Medium,Education,Medium
940715,15,16,Critical,Cybersecurity,Medium
993796,18,24,High,Healthcare,Medium
564077,6,3,Low,Finance,Low
454737,12,15,Medium,AI,Low
164454,14,4,Medium,Manufacturing,Low
160617,22,24,High,AI,High
521530,23,20,High,Agriculture,Medium
460875,2,11,Medium,AI,Medium
567863,22,9,Critical,Agriculture,Low
951266,22,15,Medium,Logistics,Low
188374,3,20,High,AI,High
860321,25,7,High,E-Commerce,Low
197328,18,20,High,Retail,High
457259,22,8,Low,Healthcare,Low
935294,19,21,High,E-Commerce,Medium
972655,11,16,Low,Healthcare,Low
982464,13,11,High,Finance,Low
150051,22,6,Critical,Logistics,Medium
700241,25,3,Critical,Agriculture,Low
347565,25,21,Medium,Agriculture,Medium
413735,11,24,Medium,AI,Medium
644909,25,10,Low,Agriculture,Low
641538,20,9,High,Cybersecurity,Low
202747,6,16,Critical,Finance,High
196729,3,16,Medium,Cybersecurity,High
325217,16,5,High,Retail,Low
522317,20,20,Critical,Logistics,Medium
712686,17,23,Critical,Cybersecurity,Medium
822487,17,16,Medium,Education,Low
630354,6,18,Critical,Education,Medium
838747,18,19,Low,E-Commerce,Low
577555,17,4,Medium,Retail,Low
487272,5,22,Critical,Finance,High
226737,13,21,High,Healthcare,High
648171,6,6,High,Logistics,Low
492649,11,12,Critical,Healthcare,Medium
929637,6,7,Critical,Healthcare,Medium
419987,11,9,Medium,Cybersecurity,Low
102187,5,20,High,Finance,High
146852,15,18,High,Manufacturing,Medium
574348,12,15,Critical,Manufacturing,Medium
239260,6,19,Critical,Cybersecurity,High
799631,16,7,High,Finance,Low
938663,21,24,Critical,AI,Medium
344131,14,13,Low,Cybersecurity,Low
871660,10,23,Low,Education,Low
841561,2,21,High,Retail,High
776498,5,23,Low,E-Commerce,Medium
748758,19,21,Low,Manufacturing,Low
647098,8,18,Low,Finance,Low
790229,19,8,Low,Logistics,Low
924974,8,10,Critical,Finance,Low
946118,19,22,High,AI,Medium
717499,3,18,Low,Agriculture,Medium
558245,7,16,Low,Retail,Low
432799,14,11,Low,Finance,Low
204158,19,8,High,Education,Medium
291542,10,5,Medium,Logistics,Low
527060,23,8,Low,Manufacturing,Low
441092,7,3,Low,Logistics,Low
508881,5,13,Medium,AI,Low
439966,10,15,Low,Healthcare,Low
312398,9,22,Medium,Cybersecurity,Medium
633328,18,15,Low,Logistics,Low
163577,12,17,Critical,Finance,High
607690,2,16,Medium,Healthcare,Medium
382234,19,21,Low,E-Commerce,Medium
900040,19,23,Medium,Logistics,Low
695848,15,17,Low,Retail,Low
313340,6,14,Medium,E-Commerce,Medium
663646,15,20,Critical,Healthcare,Medium
101049,16,22,High,Education,High
100569,3,18,High,Manufacturing,High
363076,23,15,High,E-Commerce,Medium
713583,18,12,Low,Education,Low
875089,19,21,Low,Logistics,Low
194073,14,6,Medium,Retail,Low
393033,15,9,High,Agriculture,Low
766023,10,17,High,E-Commerce,Low
794447,12,13,Medium,Cybersecurity,Low
728635,12,3,Medium,Healthcare,Low
738359,17,3,Low,Education,Low
533232,19,18,Critical,Retail,Medium
185090,22,23,Low,Retail,Medium
132450,23,17,Low,Agriculture,Medium
952262,14,22,High,AI,Medium
285793,24,3,Low,Cybersecurity,Low
488477,8,17,Low,E-Commerce,Low
879243,2,11,High,E-Commerce,Medium
194336,21,23,High,E-Commerce,High
345637,17,14,Low,Logistics,Low
616777,24,22,Medium,Healthcare,Low
305611,22,15,Low,Logistics,Low
696746,18,18,Medium,Retail,Low
303182,23,21,Medium,Finance,Medium
716735,6,5,Medium,Logistics,Low
697586,9,19,High,E-Commerce,Medium
988843,23,3,High,Retail,Low
575976,2,16,Low,Agriculture,Medium
553559,15,11,Low,Retail,Low
589251,17,14,Low,E-Commerce,Low
149246,10,16,Critical,Agriculture,High
105409,14,9,High,Finance,Medium
699596,2,10,Critical,Finance,Medium
362127,8,8,High,Logistics,Low
165896,22,23,Low,Healthcare,Medium
603281,15,3,High,Logistics,Low
359159,5,18,Medium,Agriculture,Medium
972957,3,13,Medium,Finance,Medium
913432,21,22,Critical,Finance,Medium
755725,16,21,Low,Finance,Low
163634,3,15,High,Finance,High
920664,6,4,Critical,Healthcare,Medium
416115,21,23,Critical,Finance,High
206773,23,4,Low,Logistics,Low
991215,14,15,Low,Manufacturing,Low
888490,15,10,Low,Cybersecurity,Low
502569,16,16,Low,Agriculture,Low
782540,23,3,Critical,Retail,Low
444136,20,9,Low,Finance,Low
112885,21,5,Medium,Manufacturing,Low
232101,22,19,High,Agriculture,High
541457,17,22,Critical,Education,Medium
354963,6,4,Low,Education,Low
426806,20,16,High,Logistics,Medium
712018,19,7,Medium,Cybersecurity,Low
423668,21,13,High,Agriculture,Medium
108474,18,21,Medium,Healthcare,Medium
348918,18,20,Low,AI,Medium
460517,8,9,Medium,Finance,Low
458143,8,24,Critical,Cybersecurity,High
728896,24,13,High,Manufacturing,Low
414186,15,13,Medium,Finance,Low
576370,3,18,Medium,Healthcare,Medium
769795,9,10,Critical,Manufacturing,Low
323491,9,18,High,AI,Medium
315289,14,8,Low,Agriculture,Low
110372,4,14,Low,Retail,High
220784,6,12,Critical,E-Commerce,High
762002,20,14,Low,Healthcare,Low
308795,8,12,Medium,E-Commerce,Low
374725,25,8,High,Retail,Low
357912,7,9,Low,Education,Low
983825,10,6,Low,Education,Low
497329,22,6,High,E-Commerce,Low
419891,16,10,High,Agriculture,Low
793013,7,19,Critical,Finance,High
224249,6,7,Medium,E-Commerce,Medium
658424,14,14,High,Manufacturing,Low
550405,22,10,Low,Manufacturing,Low
715855,8,20,High,Education,Medium
443598,9,4,High,Education,Low
992865,18,21,Critical,E-Commerce,Medium
862627,4,18,Low,Education,Medium
633320,14,23,High,Cybersecurity,Medium
644098,16,8,High,Agriculture,Low
651001,24,18,Critical,Cybersecurity,Medium
381370,20,15,Low,E-Commerce,Low
330189,8,17,Medium,AI,Low
329212,11,16,Critical,Manufacturing,Medium
264845,13,11,Low,Education,Low
888133,4,12,Critical,Retail,Medium
468653,9,21,Low,Cybersecurity,Medium
637145,21,13,Critical,Cybersecurity,Medium
590262,15,16,High,Cybersecurity,Low
432420,10,15,Low,Education,Low
563143,9,11,Low,Agriculture,Low
186422,11,19,Low,Logistics,Medium
338804,5,6,Low,Agriculture,Low
140140,19,9,High,E-Commerce,Medium
807901,12,11,High,Logistics,Low
